INDEX:,SPECIES:
364,UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine$BIGG:M_u3hga_c
365,"Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala$BIGG:M_uaagmda_c"
366,UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine$BIGG:M_uaccg_c
367,UDP-N-acetyl-D-glucosamine$BIGG:M_uacgam_c
368,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine$BIGG:M_uagmda_c"
369,UDP-N-acetylmuramoyl-L-alanine$BIGG:M_uama_c
370,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate$BIGG:M_uamag_c
371,UDP-N-acetylmuramate$BIGG:M_uamr_c
372,Undecaprenyldiphosphate$BIGG:M_udcpdp_c
373,Undecaprenylphosphate$BIGG:M_udcpp_c
374,UDP$BIGG:M_udp_c
375,"UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate$BIGG:M_ugmd_c"
376,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine$BIGG:M_ugmda_c"
377,UMP$BIGG:M_ump_c
378,UroporphyrinogenIII$BIGG:M_uppg3_c
379,Uracil$BIGG:M_ura_c
380,Uridine$BIGG:M_uri_c
381,UTP$BIGG:M_utp_c
382,L-Valine$BIGG:M_val_DASH_L_c
383,Xanthosine5#-phosphate$BIGG:M_xmp_c
384,D-Xylulose5-phosphate$BIGG:M_xu5p_DASH_D_c
385,KDO(2)-lipidIV(A)$BIGG:M_kdo2lipid4_e
386,Calcium$BIGG:M_ca2_p
387,Chloride$BIGG:M_cl_p
388,Fe3+$BIGG:M_fe3_p
389,D-Glucose$BIGG:M_glc_DASH_D_p
390,H+$BIGG:M_h_p
391,potassium$BIGG:M_k_p
392,KDO(2)-lipidIV(A)$BIGG:M_kdo2lipid4_p
393,D-Lactate$BIGG:M_lac_DASH_D_p
394,magnesium$BIGG:M_mg2_p
395,Molybdate$BIGG:M_mobd_p
396,Sodium$BIGG:M_na1_p
397,"phosphatidylethanolamine(dihexadecanoyl,n-C16:0)$BIGG:M_pe160_p"
398,"phosphatidylethanolamine(dihexadec-9enoyl,n-C16:1)$BIGG:M_pe161_p"
399,L-Proline$BIGG:M_pro_DASH_L_p
400,Sulfate$BIGG:M_so4_p
401,Succinate$BIGG:M_succ_p
402,M_glxBIO_c$BIGG:M_glxBIO_c
403,M_forBIO_c$BIGG:M_forBIO_c
